,B_x,B_y,B_z,V_1,V_2,V_3
0,-30.90673294615321,0.0,-10.3022443153844,-10.0,0.0,0.0
1,-30.536807662048016,0.0,-10.178935887349336,-9.84251968503937,0.0,0.0
2,-30.162382779917323,0.0,-10.054127593305772,-9.68503937007874,0.0,0.0
3,-29.783459746768397,0.0,-9.927819915589463,-9.527559055118111,0.0,0.0
4,-29.400042051368374,0.0,-9.80001401712279,-9.37007874015748,0.0,0.0
5,-29.01213527065972,0.0,-9.670711756886572,-9.21259842519685,0.0,0.0
6,-28.619747115060246,0.0,-9.539915705020082,-9.05511811023622,0.0,0.0
7,-28.2228874725363,0.0,-9.407629157512098,-8.89763779527559,0.0,0.0
8,-27.82156845133686,0.0,-9.273856150445619,-8.740157480314961,0.0,0.0
9,-27.41580442127443,0.0,-9.138601473758136,-8.582677165354331,0.0,0.0
10,-27.005612053438316,0.0,-9.001870684479435,-8.4251968503937,0.0,0.0
11,-26.59101035822464,0.0,-8.863670119408214,-8.26771653543307,0.0,0.0
12,-26.172020721567627,0.0,-8.724006907189205,-8.11023622047244,0.0,0.0
13,-25.748666939256434,0.0,-8.582888979752143,-7.952755905511811,0.0,0.0
14,-25.320975249222002,0.0,-8.440325083074,-7.7952755905511815,0.0,0.0
15,-24.888974361679487,0.0,-8.296324787226492,-7.637795275590552,0.0,0.0
16,-24.452695487012367,0.0,-8.150898495670786,-7.480314960629921,0.0,0.0
17,-24.01217236128617,0.0,-8.004057453762053,-7.322834645669291,0.0,0.0
18,-23.567441269281233,0.0,-7.855813756427073,-7.165354330708661,0.0,0.0
19,-23.1185410649363,0.0,-7.7061803549787635,-7.0078740157480315,0.0,0.0
20,-22.665513189097176,0.0,-7.555171063032391,-6.850393700787402,0.0,0.0
21,-22.20840168446782,0.0,-7.402800561489272,-6.692913385826772,0.0,0.0
22,-21.74725320766446,0.0,-7.249084402554819,-6.535433070866142,0.0,0.0
23,-21.282117038277274,0.0,-7.094039012759089,-6.377952755905512,0.0,0.0
24,-20.813045084848316,0.0,-6.937681694949436,-6.2204724409448815,0.0,0.0
25,-20.340091887679044,0.0,-6.7800306292263475,-6.062992125984252,0.0,0.0
26,-19.86331461838579,0.0,-6.621104872795261,-5.905511811023622,0.0,0.0
27,-19.382773076126973,0.0,-6.460924358708989,-5.748031496062993,0.0,0.0
28,-18.898529680431867,0.0,-6.299509893477287,-5.590551181102362,0.0,0.0
29,-18.410649460566578,0.0,-6.1368831535221915,-5.433070866141732,0.0,0.0
30,-17.919200041379934,0.0,-5.9730666804599775,-5.275590551181103,0.0,0.0
31,-17.424251625578666,0.0,-5.808083875192886,-5.118110236220472,0.0,0.0
32,-16.925876972388767,0.0,-5.641958990796255,-4.960629921259843,0.0,0.0
33,-16.424151372567323,0.0,-5.4747171241891035,-4.803149606299213,0.0,0.0
34,-15.91915261973745,0.0,-5.306384206579149,-4.645669291338582,0.0,0.0
35,-15.410960978026852,0.0,-5.136986992675616,-4.488188976377953,0.0,0.0
36,-14.89965914599926,0.0,-4.966553048666418,-4.330708661417323,0.0,0.0
37,-14.385332216876744,0.0,-4.795110738958915,-4.173228346456693,0.0,0.0
38,-13.86806763505972,0.0,-4.622689211686571,-4.015748031496063,0.0,0.0
39,-13.347955148960896,0.0,-4.449318382986964,-3.8582677165354333,0.0,0.0
40,-12.825086760178412,0.0,-4.275028920059469,-3.7007874015748037,0.0,0.0
41,-12.29955666904307,0.0,-4.099852223014356,-3.543307086614173,0.0,0.0
42,-11.771461216583944,0.0,-3.9238204055279806,-3.3858267716535435,0.0,0.0
43,-11.240898822966257,0.0,-3.746966274322085,-3.228346456692914,0.0,0.0
44,-10.707969922464953,0.0,-3.5693233074883177,-3.0708661417322833,0.0,0.0
45,-10.172776895047004,0.0,-3.3909256316823333,-2.9133858267716537,0.0,0.0
46,-9.635423994644809,0.0,-3.2118079982149346,-2.755905511811024,0.0,0.0
47,-9.096017274212585,0.0,-3.0320057580708597,-2.5984251968503935,0.0,0.0
48,-8.554664507666816,0.0,-2.8515548358889378,-2.440944881889764,0.0,0.0
49,-8.011475108820754,0.0,-2.6704917029402506,-2.2834645669291342,0.0,0.0
50,-7.46656004743202,0.0,-2.4888533491440064,-2.1259842519685037,0.0,0.0
51,-6.920031762490706,0.0,-2.3066772541635685,-1.968503937007874,0.0,0.0
52,-6.372004072883746,0.0,-2.1240013576279146,-1.8110236220472444,0.0,0.0
53,-5.822592085579238,0.0,-1.9408640285264118,-1.6535433070866148,0.0,0.0
54,-5.271912101481967,0.0,-1.7573040338273218,-1.4960629921259851,0.0,0.0
55,-4.720081519118482,0.0,-1.5733605063728269,-1.3385826771653537,0.0,0.0
56,-4.167218736316898,0.0,-1.3890729121056322,-1.181102362204724,0.0,0.0
57,-3.6134430500526644,0.0,-1.204481016684221,-1.0236220472440944,0.0,0.0
58,-3.0588745546375,0.0,-1.019624851545833,-0.8661417322834648,0.0,0.0
59,-2.5036340384337397,0.0,-0.8345446794779129,-0.7086614173228352,0.0,0.0
60,-1.9478428792810543,0.0,-0.6492809597603513,-0.5511811023622055,0.0,0.0
61,-1.3916229388266235,0.0,-0.4638743129422076,-0.3937007874015741,0.0,0.0
62,-0.8350964559533306,0.0,-0.27836548531777683,-0.23622047244094446,0.0,0.0
63,-0.2783859395033122,0.0,-0.09279531316777069,-0.07874015748031482,0.0,0.0
64,0.2783859395033122,0.0,0.09279531316777069,0.07874015748031482,0.0,0.0
65,0.8350964559533306,0.0,0.27836548531777683,0.23622047244094446,0.0,0.0
66,1.3916229388266235,0.0,0.4638743129422076,0.3937007874015741,0.0,0.0
67,1.947842879281048,0.0,0.6492809597603492,0.5511811023622037,0.0,0.0
68,2.5036340384337397,0.0,0.8345446794779129,0.7086614173228352,0.0,0.0
69,3.0588745546375,0.0,1.019624851545833,0.8661417322834648,0.0,0.0
70,3.6134430500526644,0.0,1.204481016684221,1.0236220472440944,0.0,0.0
71,4.167218736316898,0.0,1.3890729121056322,1.181102362204724,0.0,0.0
72,4.720081519118482,0.0,1.5733605063728269,1.3385826771653537,0.0,0.0
73,5.271912101481961,0.0,1.7573040338273196,1.4960629921259834,0.0,0.0
74,5.822592085579238,0.0,1.9408640285264118,1.6535433070866148,0.0,0.0
75,6.372004072883746,0.0,2.1240013576279146,1.8110236220472444,0.0,0.0
76,6.920031762490706,0.0,2.3066772541635685,1.968503937007874,0.0,0.0
77,7.46656004743202,0.0,2.4888533491440064,2.1259842519685037,0.0,0.0
78,8.011475108820749,0.0,2.6704917029402484,2.2834645669291334,0.0,0.0
79,8.554664507666812,0.0,2.851554835888937,2.440944881889763,0.0,0.0
80,9.096017274212583,0.0,3.0320057580708606,2.5984251968503926,0.0,0.0
81,9.635423994644809,0.0,3.2118079982149346,2.755905511811024,0.0,0.0
82,10.172776895047004,0.0,3.3909256316823333,2.9133858267716537,0.0,0.0
83,10.707969922464953,0.0,3.5693233074883177,3.0708661417322833,0.0,0.0
84,11.240898822966255,0.0,3.746966274322085,3.228346456692913,0.0,0.0
85,11.77146121658394,0.0,3.9238204055279775,3.3858267716535426,0.0,0.0
86,12.299556669043064,0.0,4.099852223014353,3.5433070866141723,0.0,0.0
87,12.825086760178412,0.0,4.275028920059469,3.7007874015748037,0.0,0.0
88,13.347955148960896,0.0,4.449318382986964,3.8582677165354333,0.0,0.0
89,13.86806763505972,0.0,4.622689211686571,4.015748031496063,0.0,0.0
90,14.385332216876744,0.0,4.795110738958915,4.173228346456693,0.0,0.0
91,14.89965914599926,0.0,4.966553048666418,4.330708661417322,0.0,0.0
92,15.410960978026852,0.0,5.136986992675616,4.488188976377952,0.0,0.0
93,15.919152619737451,0.0,5.306384206579149,4.645669291338583,0.0,0.0
94,16.424151372567323,0.0,5.4747171241891035,4.803149606299213,0.0,0.0
95,16.925876972388767,0.0,5.641958990796255,4.960629921259843,0.0,0.0
96,17.424251625578666,0.0,5.808083875192886,5.118110236220472,0.0,0.0
97,17.919200041379927,0.0,5.973066680459975,5.275590551181102,0.0,0.0
98,18.410649460566574,0.0,6.136883153522189,5.4330708661417315,0.0,0.0
99,18.898529680431867,0.0,6.299509893477287,5.590551181102361,0.0,0.0
100,19.382773076126973,0.0,6.460924358708989,5.748031496062993,0.0,0.0
101,19.86331461838579,0.0,6.621104872795261,5.905511811023622,0.0,0.0
102,20.340091887679044,0.0,6.7800306292263475,6.062992125984252,0.0,0.0
103,20.813045084848316,0.0,6.937681694949436,6.2204724409448815,0.0,0.0
104,21.282117038277274,0.0,7.094039012759089,6.377952755905511,0.0,0.0
105,21.747253207664457,0.0,7.249084402554816,6.535433070866141,0.0,0.0
106,22.20840168446782,0.0,7.402800561489272,6.69291338582677,0.0,0.0
107,22.665513189097176,0.0,7.555171063032391,6.8503937007874,0.0,0.0
108,23.11854106493629,0.0,7.706180354978761,7.00787401574803,0.0,0.0
109,23.56744126928124,0.0,7.855813756427079,7.165354330708663,0.0,0.0
110,24.012172361286172,0.0,8.004057453762053,7.3228346456692925,0.0,0.0
111,24.452695487012377,0.0,8.15089849567079,7.480314960629922,0.0,0.0
112,24.888974361679487,0.0,8.296324787226492,7.637795275590552,0.0,0.0
113,25.320975249222002,0.0,8.440325083074,7.7952755905511815,0.0,0.0
114,25.748666939256434,0.0,8.582888979752143,7.952755905511811,0.0,0.0
115,26.172020721567627,0.0,8.724006907189205,8.11023622047244,0.0,0.0
116,26.59101035822464,0.0,8.863670119408214,8.26771653543307,0.0,0.0
117,27.005612053438316,0.0,9.001870684479435,8.4251968503937,0.0,0.0
118,27.41580442127443,0.0,9.138601473758136,8.58267716535433,0.0,0.0
119,27.821568451336855,0.0,9.273856150445614,8.74015748031496,0.0,0.0
120,28.222887472536293,0.0,9.407629157512096,8.897637795275589,0.0,0.0
121,28.61974711506024,0.0,9.539915705020078,9.055118110236219,0.0,0.0
122,29.01213527065972,0.0,9.670711756886568,9.212598425196852,0.0,0.0
123,29.400042051368374,0.0,9.80001401712279,9.370078740157481,0.0,0.0
124,29.783459746768397,0.0,9.927819915589463,9.527559055118111,0.0,0.0
125,30.162382779917323,0.0,10.054127593305772,9.68503937007874,0.0,0.0
126,30.536807662048016,0.0,10.178935887349336,9.84251968503937,0.0,0.0
127,30.90673294615321,0.0,10.3022443153844,10.0,0.0,0.0
128,15.453366473076612,-26.76601587935015,-10.3022443153844,0.0,-10.0,0.0
129,15.268403831024015,-26.445651185812874,-10.178935887349336,0.0,-9.84251968503937,0.0
130,15.081191389958665,-26.1213897260787,-10.054127593305772,0.0,-9.68503937007874,0.0
131,14.8917298733842,-25.793232753292674,-9.927819915589463,0.0,-9.527559055118111,0.0
132,14.700021025684189,-25.461183288815768,-9.80001401712279,0.0,-9.37007874015748,0.0
133,14.506067635329863,-25.125246162421835,-9.670711756886572,0.0,-9.21259842519685,0.0
134,14.309873557530125,-24.785428051528573,-9.539915705020082,0.0,-9.05511811023622,0.0
135,14.111443736268154,-24.44173751936603,-9.407629157512098,0.0,-8.89763779527559,0.0
136,13.910784225668433,-24.094185051985402,-9.273856150445619,0.0,-8.740157480314961,0.0
137,13.70790221063722,-23.74278309400939,-9.138601473758136,0.0,-8.582677165354331,0.0
138,13.502806026719163,-23.387546083024823,-9.001870684479435,0.0,-8.4251968503937,0.0
139,13.295505179112324,-23.028490482517686,-8.863670119408214,0.0,-8.26771653543307,0.0
140,13.086010360783817,-22.6656348132503,-8.724006907189205,0.0,-8.11023622047244,0.0
141,12.874333469628223,-22.29899968298058,-8.582888979752143,0.0,-7.952755905511811,0.0
142,12.660487624611006,-21.928607814423263,-8.440325083074,0.0,-7.7952755905511815,0.0
143,12.444487180839747,-21.55448407135402,-8.296324787226492,0.0,-7.637795275590552,0.0
144,12.226347743506189,-21.17665548275781,-8.150898495670786,0.0,-7.480314960629921,0.0
145,12.006086180643086,-20.79515126492439,-8.004057453762053,0.0,-7.322834645669291,0.0
146,11.78372063464062,-20.410002841395322,-7.855813756427073,0.0,-7.165354330708661,0.0
147,11.559270532468155,-20.021243860668584,-7.7061803549787635,0.0,-7.0078740157480315,0.0
148,11.332756594548592,-19.628910211569405,-7.555171063032391,0.0,-6.850393700787402,0.0
149,11.104200842233915,-19.23304003619825,-7.402800561489272,0.0,-6.692913385826772,0.0
150,10.873626603832234,-18.833673740370045,-7.249084402554819,0.0,-6.535433070866142,0.0
151,10.64105851913864,-18.430854001461757,-7.094039012759089,0.0,-6.377952755905512,0.0
152,10.406522542424163,-18.02462577358949,-6.937681694949436,0.0,-6.2204724409448815,0.0
153,10.170045943839526,-17.615036290039832,-6.7800306292263475,0.0,-6.062992125984252,0.0
154,9.931657309192895,-17.202135062884892,-6.621104872795261,0.0,-5.905511811023622,0.0
155,9.69138653806349,-16.785973879715005,-6.460924358708989,0.0,-5.748031496062993,0.0
156,9.449264840215935,-16.366606797428204,-6.299509893477287,0.0,-5.590551181102362,0.0
157,9.205324730283293,-15.944090133020929,-6.1368831535221915,0.0,-5.433070866141732,0.0
158,8.959600020689969,-15.518482451330184,-5.9730666804599775,0.0,-5.275590551181103,0.0
159,8.712125812789335,-15.089844549683427,-5.808083875192886,0.0,-5.118110236220472,0.0
160,8.462938486194387,-14.658239439418715,-5.641958990796255,0.0,-4.960629921259843,0.0
161,8.212075686283665,-14.223732324244361,-5.4747171241891035,0.0,-4.803149606299213,0.0
162,7.959576309868727,-13.786390575414227,-5.306384206579149,0.0,-4.645669291338582,0.0
163,7.7054804890134285,-13.346283703701934,-5.136986992675616,0.0,-4.488188976377953,0.0
164,7.449829572999634,-12.903483328164516,-4.966553048666418,0.0,-4.330708661417323,0.0
165,7.192666108438376,-12.458063141693977,-4.795110738958915,0.0,-4.173228346456693,0.0
166,6.934033817529863,-12.0100988733625,-4.622689211686571,0.0,-4.015748031496063,0.0
167,6.673977574480449,-11.559668247575436,-4.449318382986964,0.0,-3.8582677165354333,0.0
168,6.4125433800892075,-11.106850940053967,-4.275028920059469,0.0,-3.7007874015748037,0.0
169,6.149778334521536,-10.65172853067761,-4.099852223014356,0.0,-3.543307086614173,0.0
170,5.885730608291975,-10.19438445322497,-3.9238204055279806,0.0,-3.3858267716535435,0.0
171,5.62044941148313,-9.734903942059374,-3.746966274322085,0.0,-3.228346456692914,0.0
172,5.353984961232478,-9.273373975814335,-3.5693233074883177,0.0,-3.0708661417322833,0.0
